symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime
AVAX/USDT,long,23.32,24.107942121038022,157.02970907600292,3784.198364561456,122.26554890906824,167.40073278567723,3.198684011500953,2.441385479013223,止损,1,2025-05-10 04:15:00,5233.425126826641,trend,bullish,2025-05-10 08:45:00,trending_up
AVAX/USDT,long,24.02,25.552256123068364,154.47682874181297,3945.747279719622,235.21385334127473,298.133942864813,5.622111214414549,3.506372424284782,止损,1,2025-05-10 09:00:00,5302.882342498427,trend,bullish,2025-05-11 00:15:00,range_bound
AVAX/USDT,long,25.08,26.431761084660454,151.4179200942971,4000.7232632942823,203.16182732931136,281.68075787530717,5.1901119905399895,3.185722313104431,止损,1,2025-05-12 04:15:00,5427.25780077051,trend,bullish,2025-05-12 07:30:00,range_bound
AVAX/USDT,long,26.04,25.274674510824838,212.84494121456382,5377.369617566056,-165.11265166118545,-165.11265166118545,-2.9778468381278884,-1.000000000000002,止损,1,2025-05-12 07:45:00,5544.699262134933,trend,bullish,2025-05-12 10:15:00,range_bound
AVAX/USDT,long,25.77,25.304374860518227,212.3478392901945,5371.14044469276,-101.06337381555326,-101.06337381555326,-1.846111146080074,-0.9999999999999994,止损,1,2025-05-14 02:15:00,5474.392700035716,trend,bullish,2025-05-14 14:15:00,range_bound
AVAX/USDT,long,25.42,24.9866111514899,213.56561255957007,5334.1093812072195,-94.72849005705237,-94.72849005705237,-1.7442151719567958,-1.000000000000004,止损,1,2025-05-14 14:30:00,5431.009406412777,trend,bullish,2025-05-14 17:15:00,range_bound
AVAX/USDT,short,24.1,22.653985676628736,156.5019876545459,3996.4933390981128,224.79543662355653,296.58692269752225,5.502239047782906,2.899872402346221,止损,1,2025-05-15 16:45:00,5390.295116622208,trend,bullish,2025-05-17 02:45:00,range_bound
AVAX/USDT,short,22.53,22.909086208784572,244.6427501426677,5416.855747591802,-94.9454131225007,-94.9454131225007,-1.7218953909096415,-0.9999999999999976,止损,1,2025-05-17 03:00:00,5514.005881178589,trend,bullish,2025-05-17 04:15:00,range_bound
AVAX/USDT,short,22.48,22.800943456915782,243.37180180639913,5390.701117978441,-80.2969866294113,-80.2969866294113,-1.4670975778540067,-1.0000000000000027,止损,1,2025-05-17 17:15:00,5473.186503849696,trend,bullish,2025-05-18 05:45:00,range_bound
AVAX/USDT,short,22.85,23.124338428577268,237.91484650074074,5368.910515720695,-67.44372682123151,-67.44372682123151,-1.240109770434348,-1.0000000000000009,止损,1,2025-05-18 06:00:00,5438.528784238943,trend,bullish,2025-05-18 07:45:00,range_bound
AVAX/USDT,long,25.25,24.92321619544538,214.14315127779253,5334.973210242483,-72.1413595217781,-72.1413595217781,-1.3336598214362538,-0.9999999999999952,止损,1,2025-05-23 01:15:00,5409.277415592167,trend,bullish,2025-05-23 06:45:00,range_bound
AVAX/USDT,short,23.12,22.754620794045557,162.76534439715294,3821.1005808499244,57.96581838774842,98.47708951174927,1.8310904192307094,1.408042782939661,止损,1,2025-05-25 00:15:00,5378.057166238801,trend,bullish,2025-05-25 02:15:00,trending_down
AVAX/USDT,short,22.81,22.38732186044499,166.2189750170336,3860.1953653294213,68.74054519088453,115.8191729051803,2.137464600694156,1.394536381348013,止损,1,2025-05-25 02:45:00,5418.530574380846,trend,bullish,2025-05-25 11:15:00,trending_down
AVAX/USDT,short,22.31,22.57106617473895,244.91699382486243,5397.972950273368,-66.12518195931294,-66.12518195931294,-1.2096917160475567,-0.9999999999999972,止损,1,2025-05-25 11:30:00,5466.283771485574,trend,bullish,2025-05-25 13:45:00,trending_down
AVAX/USDT,short,22.45,22.675860599682,242.1116965400247,5378.549931318068,-56.85765600548602,-56.85765600548602,-1.045642320719823,-1.0000000000000029,止损,1,2025-05-25 14:15:00,5437.581750358484,trend,neutral,2025-05-25 22:00:00,range_bound
AVAX/USDT,short,22.9,23.22642750086616,236.27136346404282,5331.324506935442,-79.28971639113824,-79.28971639113824,-1.4648616573726836,-0.9999999999999946,止损,1,2025-05-25 22:15:00,5412.778469015911,trend,neutral,2025-05-25 22:30:00,range_bound
AVAX/USDT,short,21.31,20.888158715439086,176.60640504349823,3836.4769712455904,72.99447976864329,120.78992529632082,2.245769450045593,1.5966038269860543,止损,1,2025-05-30 20:30:00,5378.554120676483,trend,bearish,2025-05-30 22:45:00,trending_down
AVAX/USDT,short,20.59,20.59,184.47607889536175,3796.843119469716,-1.5193449857821992,53.96294259847128,0.9940851245708626,0.0,止损,1,2025-05-30 23:00:00,5428.402584916114,trend,bearish,2025-05-31 13:00:00,range_bound
AVAX/USDT,short,19.83,18.82680930517663,192.31414244505393,4004.9917670913583,191.40232240593943,250.91541735180283,4.603813978071686,3.4702985672342503,止损,1,2025-06-05 16:15:00,5450.164114947562,trend,bearish,2025-06-05 20:45:00,trending_down
AVAX/USDT,long,21.27,21.696351286858416,182.73238807523003,3963.0713960089847,76.35350164884183,121.10925790279455,2.1803121760270603,2.081133376295564,止损,1,2025-06-09 20:30:00,5554.675116454124,trend,bearish,2025-06-09 21:30:00,trending_up
